nquest;versao;pf1;idade1;idade;sexo;p1;p2;p2a;p2b;p2c;p3a;p3b;p3c;p3d;p3e;p3f;p3g;p3h;p3i;p3j;p3k;p4a;p4b;p4c;p4d;p4e;p4f;p4g;p4h;p4i;p4j;p4k;p6a;p6b;p6c;p6d;p6e;p6f;p6g;p6h;p6i;p6j;p7a;p7b;p7c;p7d;p7e;p7f;p7g;p7h;p8a;p8b;p8c;p9;p10;p11;p12;partido;religiao;pea;escola;rendaf;regiao;bairro
37453806;9;1;42;3;1;6;6;45;1;0;4;1;1;4;4;1;2;1;4;1;4;3;10;0;0;0;0;0;0;0;0;0;6;2;2;2;6;6;96;6;96;96;1;1;2;1;1;1;1;1;1;7;2;1;1;2;1;4;6;6;7;5;4;60
37453876;9;1;42;3;2;99;96;996;2;10;4;4;1;4;4;4;2;1;4;1;4;2;7;0;0;0;0;0;0;0;0;0;96;96;96;10;96;10;10;96;10;96;1;1;2;1;1;1;2;3;2;5;1;2;1;2;1;96;3;5;8;4;3;92
37453956;9;1;47;4;2;96;1;994;1;0;2;3;2;4;4;3;3;2;3;2;3;10;0;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;3;6;8;3;1;1;1;1;1;1;1;1;1;3;5;1;1;2;1;96;8;1;2;1;2;71
37453970;9;1;66;5;1;6;6;45;1;0;4;1;1;4;4;1;3;1;2;1;4;2;3;4;5;8;10;11;0;0;0;0;6;2;2;2;6;6;96;6;96;96;1;1;2;1;1;2;1;1;5;8;1;1;1;2;1;4;6;12;7;4;4;20
37453979;9;1;52;4;1;6;6;45;1;0;4;1;1;4;4;2;1;1;2;1;2;3;10;0;0;0;0;0;0;0;0;0;6;2;2;2;6;6;96;6;96;96;1;1;2;1;1;2;1;2;2;1;5;1;1;2;1;4;6;1;5;5;5;2
37454013;9;1;30;2;1;6;6;45;1;0;4;1;2;4;4;1;3;1;4;1;4;2;3;0;0;0;0;0;0;0;0;0;6;96;8;10;6;10;10;6;10;8;1;1;2;3;1;2;1;1;2;1;5;1;1;2;1;4;4;10;6;1;2;38
37454040;9;1;49;4;2;10;10;15;1;0;4;1;1;4;4;1;2;1;2;1;4;2;6;0;0;0;0;0;0;0;0;0;96;3;8;10;3;10;10;8;10;8;1;1;3;3;1;1;2;1;1;5;2;2;2;1;1;96;6;1;5;4;2;71
37454111;9;1;62;5;2;99;99;990;0;0;4;3;1;4;4;3;4;1;4;1;4;99;0;0;0;0;0;0;0;0;0;0;96;99;96;99;99;99;99;99;99;99;1;1;99;1;1;1;1;1;1;5;99;99;99;99;1;96;2;12;1;99;4;77
37454115;9;1;52;4;1;6;6;45;1;0;4;1;1;4;4;2;3;1;4;1;4;3;8;10;0;0;0;0;0;0;0;0;6;2;2;2;6;6;96;6;96;96;1;1;2;2;1;1;1;1;1;2;5;3;1;1;1;96;2;7;5;1;4;31
37454139;9;1;78;5;1;6;6;45;1;0;4;1;1;4;3;1;1;1;4;1;3;3;8;9;10;0;0;0;0;0;0;0;6;96;2;96;6;6;96;6;96;96;1;1;1;1;1;1;1;1;1;2;3;1;1;2;1;96;6;6;5;4;3;69
37454145;9;1;49;4;1;6;6;45;1;0;4;2;1;4;4;1;4;2;4;1;4;8;0;0;0;0;0;0;0;0;0;0;6;2;2;10;6;6;10;6;10;3;1;1;2;1;1;1;1;1;6;1;7;1;1;1;1;96;6;1;3;3;3;30
37454182;9;1;19;1;1;2;2;10;2;6;4;1;1;4;4;2;2;3;4;2;3;3;7;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;10;6;8;8;1;1;3;2;1;2;1;1;1;2;7;2;1;99;1;96;1;2;5;2;4;19
37454187;9;1;52;4;1;2;99;990;0;0;2;1;3;3;3;2;4;3;4;2;2;6;0;0;0;0;0;0;0;0;0;0;2;2;2;2;99;10;99;8;8;99;1;1;1;1;1;1;1;1;1;5;8;1;1;1;1;95;1;1;3;1;3;999
37454212;9;1;59;4;1;96;96;990;1;0;4;2;2;4;4;3;2;2;4;2;4;19;0;0;0;0;0;0;0;0;0;0;96;96;96;96;96;96;96;96;96;96;1;1;2;2;1;1;1;1;5;1;4;1;1;2;1;96;6;12;5;4;4;5
37454215;9;1;20;1;1;3;3;13;1;0;4;2;1;4;3;1;3;1;2;1;4;6;7;0;0;0;0;0;0;0;0;0;2;3;99;10;3;10;3;8;10;3;1;1;3;3;1;3;1;1;5;2;8;2;2;99;1;2;9;1;5;99;5;17
37454223;9;1;54;4;1;99;8;994;2;99;4;4;4;4;4;4;4;1;4;4;4;1;2;3;4;5;6;7;9;10;11;0;96;96;8;96;96;96;96;8;8;8;1;1;3;3;1;1;1;1;1;2;5;2;3;1;1;96;9;4;7;5;2;41
37454253;9;1;53;4;2;6;6;45;1;0;4;1;1;4;4;1;3;1;2;1;4;3;0;0;0;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;1;1;1;2;2;2;1;2;6;1;1;2;1;4;6;12;7;4;3;69
37454256;9;1;48;4;2;6;6;994;1;0;4;1;1;4;1;1;1;4;3;1;1;3;7;0;0;0;0;0;0;0;0;0;6;2;8;2;6;6;10;6;8;8;1;1;1;1;1;1;1;1;5;1;7;1;1;99;1;96;6;1;5;1;3;42
37454265;9;1;34;2;2;6;6;45;1;0;4;1;1;4;3;1;1;1;2;1;4;2;3;8;10;0;0;0;0;0;0;0;6;96;96;96;6;6;96;6;96;96;1;1;1;3;1;3;3;2;1;2;5;1;1;2;1;4;5;1;8;4;3;19
37454274;9;1;73;5;1;2;2;994;1;0;4;1;1;4;4;1;1;1;3;1;4;3;10;0;0;0;0;0;0;0;0;0;2;2;2;2;6;6;96;6;8;8;1;1;3;1;1;2;2;1;1;5;2;2;1;2;1;1;5;12;2;2;3;66
